PeakID (cmd=annotatePeaks.pl /media/serlia/Storage 2/results-chipseq/rora-enrichment-found-regions-lazar-may-03-2020.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
0.9380183772494396	chr9	62810801	62812000	+	0	NA	5' UTR (NM_010193, exon 1 of 2)	5' UTR (NM_010193, exon 1 of 2)	248	NM_010193	14155	Mm.24069	NM_010193	ENSMUSG00000032244	Fem1b	mKIAA0396	feminization 1 homolog b (C. elegans)	protein-coding
1.1630043238401413	chr8	34690201	34690400	+	0	NA	Intergenic	Intergenic	-49984	NR_040706	330734	Mm.149998	NR_040706	ENSMUSG00000109819	B930018H19Rik	B930018H19	RIKEN cDNA B930018H19 gene	ncRNA
1.0037834992011387-2	chr4	132329001	132329600	+	0	NA	intron (NM_027925, intron 1 of 8)	intron (NM_027925, intron 1 of 8)	238	NM_027925	71787	Mm.239183	NM_027925	ENSMUSG00000028898	Trnau1ap	1110007F05Rik|AA387999|Secp43|Trspap1|WI1-2643G14.2	tRNA selenocysteine 1 associated protein 1	protein-coding
0.0-4	chr7	45217201	45217400	+	0	NA	exon (NM_001285498, exon 2 of 12)	exon (NM_001285498, exon 2 of 12)	1547	NM_001285498	21677	Mm.3019	NM_011565	ENSMUSG00000030796	Tead2	ETEF-1|ETF|Etdf|TEAD-2|TEF-4|TEF4	TEA domain family member 2	protein-coding
2.9594307236373423	chr18	90509801	90510800	+	0	NA	5' UTR (NM_198295, exon 1 of 16)	5' UTR (NM_198295, exon 1 of 16)	146	NM_198295	67988	Mm.268041	NM_198295	ENSMUSG00000024614	Tmx3	6430411B10Rik|A730024F05Rik|AV259382|Txndc10|mKIAA1830	thioredoxin-related transmembrane protein 3	protein-coding
3.437093184143305	chr7	141096001	141097000	+	0	NA	intron (NM_023059, intron 1 of 9)	RLTR20A4|LTR|ERVK	4046	NM_023059	24058	Mm.38017	NM_023059	ENSMUSG00000025494	Sigirr	AI256711|TIR8	single immunoglobulin and toll-interleukin 1 receptor (TIR) domain	protein-coding
20.27971449162845-2	chr1	88286201	88292200	+	0	NA	Intergenic	Tigger7|DNA|TcMar-Tigger	-11621	NM_198652	381280	Mm.384762	NM_198652	ENSMUSG00000044783	Hjurp	6430706D22Rik|A730008H23Rik|C330011F01Rik|Gm975|Mfleg1	Holliday junction recognition protein	protein-coding
5.352935269474983	chr17	25727001	25727800	+	0	NA	promoter-TSS (NM_145409)	promoter-TSS (NM_145409)	15	NM_145409	214901	Mm.102540	NM_145409	ENSMUSG00000019214	Chtf18	6030457M03Rik|CTF18|Chl12	CTF18, chromosome transmission fidelity factor 18	protein-coding
36.12063062377274	chr6	47744201	47744600	+	0	NA	promoter-TSS (NR_002841).2	promoter-TSS (NR_002841).2	-169	NR_002841	19799		NR_002841		Rn4.5s	-	4.5S RNA	rRNA
4.916808570424716	chr5	143909201	143910400	+	0	NA	promoter-TSS (NM_001172146)	promoter-TSS (NM_001172146)	39	NM_146165	231872	Mm.200499	NM_146165	ENSMUSG00000029610	Aimp2	AA407136|AA407225|Aimp2(p38)|Jtv1	aminoacyl tRNA synthetase complex-interacting multifunctional protein 2	protein-coding
1.683684975639808	chr6	119478801	119482600	+	0	NA	exon (NM_133940, exon 1 of 1)	exon (NM_133940, exon 1 of 1)	1032	NM_133940	101358	Mm.125477	NM_133940	ENSMUSG00000030019	Fbxl14	AW322056|Fbx14l	F-box and leucine-rich repeat protein 14	protein-coding
5.046036785026682	chr8	117672401	117674200	+	0	NA	intron (NM_001357272, intron 1 of 3)	intron (NM_001357272, intron 1 of 3)	389	NM_001357273	74032	Mm.296302	NM_028725	ENSMUSG00000034308	Sdr42e1	4632417N05Rik|AI117603	short chain dehydrogenase/reductase family 42E, member 1	protein-coding
2.123521327972412	chr7	141164001	141164400	+	0	NA	intron (NM_001172101, intron 3 of 9)	intron (NM_001172101, intron 3 of 9)	4486	NM_001172101	107702	Mm.197493	NM_145135	ENSMUSG00000038650	Rnh1	AW546468|C80305|RNH	ribonuclease/angiogenin inhibitor 1	protein-coding
4.283386553327243	chr6	120674001	120675200	+	0	NA	intron (NM_001128151, intron 1 of 18)	intron (NM_001128151, intron 1 of 18)	8286	NM_001368706	330409	Mm.333357	NM_001128151	ENSMUSG00000071226	Cecr2	2610101O16Rik|2810409N01Rik|Gtl4	CECR2, histone acetyl-lysine reader	protein-coding
2.104484045257171	chr19	61200001	61200600	+	0	NA	Intergenic	MURVY-LTR|LTR|ERV1	-23991	NM_001177513	633057	Mm.426097	NM_001177513	ENSMUSG00000094649	Gm7102	EG633057	predicted gene 7102	protein-coding
10.648758665658534	chr17	32946801	32947600	+	0	NA	intron (NM_130882, intron 1 of 12)	intron (NM_130882, intron 1 of 12)	161	NM_130882	170716	Mm.254838	NM_130882	ENSMUSG00000024055	Cyp4f13	0610030I10Rik|Cypf13	cytochrome P450, family 4, subfamily f, polypeptide 13	protein-coding
1.4807537607848644	chr12	87199401	87200400	+	0	NA	promoter-TSS (NM_001290288)	promoter-TSS (NM_001290288)	329	NM_001033475	382620	Mm.374912	NM_001033475	ENSMUSG00000034111	Tmed8	6430595O10Rik|AI447224|Gm1184|Mem1	transmembrane p24 trafficking protein 8	protein-coding
4.681092546880246	chr14	76505201	76506200	+	0	NA	intron (NM_001177751, intron 2 of 2)	intron (NM_001177751, intron 2 of 2)	1190	NM_009366	21807	Mm.153272	NM_009366	ENSMUSG00000022010	Tsc22d1	AA589566|AW105905|Egr5|TSC-22|Tgfb1i4|Tsc|Tsc22	TSC22 domain family, member 1	protein-coding
3.2813336551189423	chr3	69043001	69043200	+	0	NA	intron (NM_025863, intron 2 of 2)	intron (NM_025863, intron 2 of 2)	1642	NM_025863	66949	Mm.176695	NM_025863	ENSMUSG00000034317	Trim59	2310035M22Rik|2700022F13Rik|Mrf1|TSBF1	tripartite motif-containing 59	protein-coding
1.8743061448136966	chr1	60566201	60567400	+	0	NA	promoter-TSS (NM_001045513)	promoter-TSS (NM_001045513)	-35	NM_001045513	77300	Mm.440325	NM_001045513	ENSMUSG00000026014	Raph1	9430025M21Rik|C730009O10Rik|Lpd	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	protein-coding
3.746016222052276	chr6	85587001	85588600	+	0	NA	exon (NM_145223, exon 1 of 23)	exon (NM_145223, exon 1 of 23)	269	NM_145223	236266	Mm.246967	NM_145223	ENSMUSG00000063810	Alms1	bbb	ALMS1, centrosome and basal body associated	protein-coding
0.7528376281261444-4	chr7	106643601	106644000	+	0	NA	intron (NM_001277182, intron 1 of 3)	intron (NM_001277182, intron 1 of 3)	845	NM_001277180	434223	Mm.276443	NM_001277179		Gm1966	-	predicted gene 1966	protein-coding
2.5651140640307073	chr16	94568601	94571400	+	0	NA	promoter-TSS (NM_007890)	promoter-TSS (NM_007890)	-206	NM_007890	13548	Mm.310973	NM_007890	ENSMUSG00000022897	Dyrk1a	2310043O08Rik|D16Ertd272e|D16Ertd493e|Dyrk|Gm10783|Mnbh|Mp86|mmb	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1a	protein-coding
4.870080754160881	chr7	140137601	140138000	+	0	NA	intron (NM_199301, intron 1 of 10)	CpG	236	NM_199301	212508	Mm.296088	NM_199301	ENSMUSG00000039018	Mtg1	Gm169|Gtpbp7	mitochondrial ribosome-associated GTPase 1	protein-coding
0.8431781396269799	chr1	128358801	128359800	+	0	NA	intron (NM_001313695, intron 1 of 15)	PB1D10|SINE|Alu	405	NM_001313695	17219	Mm.4933	NM_008567	ENSMUSG00000026355	Mcm6	ASP-l1|D1Wsu22e|Mcmd6	minichromosome maintenance complex component 6	protein-coding
6.178297907464184	chr8	20129401	20132200	+	0	NA	Intergenic	Intergenic	166632	NR_030708	547150	Mm.359054	NR_030708	ENSMUSG00000071796	6820431F20Rik	-	cadherin 11 pseudogene	pseudo
9.750545469423136	chr4	99929201	99930400	+	0	NA	exon (NM_028132, exon 1 of 11)	exon (NM_028132, exon 1 of 11)	349	NM_028132	72157	Mm.217764	NM_028132	ENSMUSG00000025791	Pgm2	2610020G18Rik|AA407108|AI098105|Pgm-2|Pgm1	phosphoglucomutase 2	protein-coding
3.4163252860307693	chr11	20558001	20558400	+	0	NA	intron (NM_021372, intron 1 of 1)	intron (NM_021372, intron 1 of 1)	15034	NM_021372	58172	Mm.339676	NM_021372	ENSMUSG00000049800	Sertad2	AB041541|AU021878|Kiaa0127|MNCb-1504|SEI-2|Sei2|TRIP-Br2|mKIAA0127	SERTA domain containing 2	protein-coding
4.696149313822389	chr9	15306001	15306800	+	0	NA	promoter-TSS (NM_001199484)	promoter-TSS (NM_001199484)	48	NM_001199484	70984	Mm.261842	NM_133732	ENSMUSG00000031938	4931406C07Rik	-	RIKEN cDNA 4931406C07 gene	protein-coding
0.1661434769630432	chr1	69648001	69648200	+	0	NA	intron (NM_011770, intron 3 of 7)	intron (NM_011770, intron 3 of 7)	37860	NM_011770	22779	Mm.106343	NM_011770	ENSMUSG00000025997	Ikzf2	A730095J18Rik|Helios|Zfpn1a2|Znfn1a2	IKAROS family zinc finger 2	protein-coding
4.382034327834845-2	chr7	126199401	126200800	+	0	NA	5' UTR (NM_001311143, exon 1 of 24)	5' UTR (NM_001311143, exon 1 of 24)	401	NM_001311143	74204	Mm.235663	NM_028816	ENSMUSG00000000131	Xpo6	2610005L19Rik|AL022631|C230091E20Rik|R75304|Ranbp20|exp6|mKIAA0370	exportin 6	protein-coding
3.011350594460964	chr1	53352201	53352600	+	0	NA	intron (NM_001353501, intron 1 of 3)	intron (NM_001353501, intron 1 of 3)	352	NM_001290984	70396	Mm.285783	NM_133728	ENSMUSG00000026095	Asnsd1	2210409M21Rik	asparagine synthetase domain containing 1	protein-coding
5.3119818986975496	chr15	59647401	59650800	+	0	NA	5' UTR (NM_144549, exon 1 of 3)	5' UTR (NM_144549, exon 1 of 3)	446	NM_144549	211770	Mm.40298	NM_144549	ENSMUSG00000032501	Trib1	A530090O15Rik|TRB-1|Trb1	tribbles pseudokinase 1	protein-coding
8.46985616783301	chr9	63989801	63990400	+	0	NA	intron (NM_008542, intron 3 of 3)	intron (NM_008542, intron 3 of 3)	31959	NM_008542	17130	Mm.325757	NM_008542	ENSMUSG00000036867	Smad6	Madh6|b2b390Clo	SMAD family member 6	protein-coding
6.406907953321934	chr13	3610001	3611400	+	0	NA	intron (NM_001360838, intron 1 of 19)	CpG	408	NM_001360838	105203	Mm.221609	NM_134063	ENSMUSG00000033799	Tasor2	AI645998|Fam208b|Pap20|mKIAA2006	transcription activation suppressor family member 2	protein-coding
4.641633393242955	chr2	117490201	117490600	+	0	NA	Intergenic	Lx4A|LINE|L1	-147523	NM_011246	19419	Mm.42150	NM_011246	ENSMUSG00000027347	Rasgrp1	Rasgrp|calDAG-GEFII	RAS guanyl releasing protein 1	protein-coding
10.456655219197273	chr11	26387001	26387400	+	0	NA	non-coding (NR_102382, exon 1 of 12)	non-coding (NR_102382, exon 1 of 12)	116	NR_102382	67030	Mm.18875	NM_025923	ENSMUSG00000004018	Fancl	2010322C19Rik|AW554273|B230118H11Rik|Phf9|Pog|gcd	Fanconi anemia, complementation group L	protein-coding
5.471052890643477	chr7	105952601	105954200	+	0	NA	intron (NM_001243039, intron 1 of 3).2	intron (NM_001243039, intron 1 of 3).2	567	NM_001243040	100042856	Mm.425473	NM_001243039	ENSMUSG00000078606	Gm4070	VLIG-1	predicted gene 4070	protein-coding
9.333456180368861	chr2	61593001	61594200	+	0	NA	intron (NR_149324, intron 1 of 9)	intron (NR_149324, intron 1 of 9)	503	NM_001164072	21353	Mm.244393	NM_011529	ENSMUSG00000064289	Tank	C86182|E430026L09Rik|I-TRAF	TRAF family member-associated Nf-kappa B activator	protein-coding
1.0550110757350921	chr8	22593201	22594200	+	0	NA	5' UTR (NM_011696, exon 1 of 9)	5' UTR (NM_011696, exon 1 of 9)	113	NM_001198998	22335	Mm.227704	NM_011696	ENSMUSG00000008892	Vdac3	-	voltage-dependent anion channel 3	protein-coding
3.4474772134174905	chr1	59481601	59482800	+	0	NA	promoter-TSS (NM_008057)	promoter-TSS (NM_008057)	53	NM_008057	14369	Mm.297906	NM_008057	ENSMUSG00000041075	Fzd7	Fz7	frizzled class receptor 7	protein-coding
3.4695431608706713	chr3	157946801	157948400	+	0	NA	exon (NM_001013806, exon 1 of 13)	exon (NM_001013806, exon 1 of 13)	600	NM_001359909	433667	Mm.265806	NM_001013806	ENSMUSG00000039988	Ankrd13c	AI505652|AU022220	ankyrin repeat domain 13c	protein-coding
3.9605372706367867	chr17	35120601	35122400	+	0	NA	promoter-TSS (NM_001303445)	promoter-TSS (NM_001303445)	4	NM_001128597	81845	Mm.7405	NM_032460	ENSMUSG00000092417	Gpank1	Bat-4|Bat4|D17H6S54E|G5	G patch domain and ankyrin repeats 1	protein-coding
7.798359453678131	chr5	123898001	123898200	+	0	NA	Intergenic	B4|SINE|B4	-9175	NM_026603	68184	Mm.28549	NM_026603	ENSMUSG00000023106	Denr	1500003K04Rik	density-regulated protein	protein-coding
1.085573464847856	chr13	51791801	51794000	+	0	NA	intron (NM_001281880, intron 1 of 16)	CpG	847	NM_001281880	20354	Mm.33903	NM_013660	ENSMUSG00000021451	Sema4d	CD100|Semacl2|Semaj|Semcl2|coll-4	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	protein-coding
3.322869546711445	chr11	48989201	48989400	+	0	NA	intron (NM_011579, intron 1 of 1)	Lx9|LINE|L1	2946	NM_011579	21822	Mm.15793	NM_011579	ENSMUSG00000078922	Tgtp1	Gtp2|Ifggb6|Irgb6|Mg21|Tgtp|Tgtp2	T cell specific GTPase 1	protein-coding
0.4922000467777252	chr7	45376201	45377200	+	0	NA	exon (NM_009224, exon 10 of 10)	exon (NM_009224, exon 10 of 10)	-6136	NM_011698	22342	Mm.20472	NM_011698	ENSMUSG00000003872	Lin7b	LIN-7B|MALS-2|Veli2	lin-7 homolog B (C. elegans)	protein-coding
3.178920679627421	chr11	93884801	93887000	+	0	NA	promoter-TSS (NM_001346525)	promoter-TSS (NM_001346525)	50	NM_001363336	103537	Mm.210334	NM_134012	ENSMUSG00000059474	Mbtd1	AA408199|AI194990|hemp	mbt domain containing 1	protein-coding
7.3648288724943995	chr12	73286401	73287200	+	0	NA	promoter-TSS (NM_029580)	promoter-TSS (NM_029580)	-48	NM_001037717	625098	Mm.32075	NM_001037717	ENSMUSG00000044712	Slc38a6	AW322671|EG625098	solute carrier family 38, member 6	protein-coding
3.0874996098379293	chr9	107872001	107873200	+	0	NA	intron (NM_029169, intron 1 of 20)	CpG	219	NM_029169	19654	Mm.139926	NM_011251	ENSMUSG00000032582	Rbm6	4930506F14Rik|Def-3|NY-LU-12|g16|mKIAA4015	RNA binding motif protein 6	protein-coding
5.256883542984724	chr12	8921601	8923200	+	0	NA	intron (NM_008640, intron 1 of 6)	CpG	1093	NM_008640	17775	Mm.30071	NM_008640	ENSMUSG00000020585	Laptm4a	AA286466|LAPTM4|MTP|Mtrp|mKIAA0108	lysosomal-associated protein transmembrane 4A	protein-coding
3.8732197880744934	chr13	19342001	19342200	+	0	NA	Intergenic	Intergenic	53713	NM_001347485	76205	Mm.41940	NM_024270	ENSMUSG00000003062	Stard3nl	0610035N01Rik|6530409L22Rik|AW124774|MENTHO	STARD3 N-terminal like	protein-coding
1.0037835041681926-2	chr4	140872801	140873400	+	0	NA	intron (NR_040654, intron 1 of 2)	intron (NR_040654, intron 1 of 2)	407	NR_040654	75128	Mm.67085	NR_040654	ENSMUSG00000087045	4930515B02Rik	-	RIKEN cDNA 4930515B02 gene	ncRNA
4.446068766216437	chr19	10605201	10606400	+	0	NA	intron (NM_015735, intron 1 of 26)	CpG	203	NM_015735	13194	Mm.289915	NM_015735	ENSMUSG00000024740	Ddb1	127kDa|AA408517|p127-Ddb1	damage specific DNA binding protein 1	protein-coding
1.5056752590462565	chr11	115366001	115366800	+	0	NA	intron (NM_175454, intron 1 of 18)	intron (NM_175454, intron 1 of 18)	1319	NM_175454	217310	Mm.205707	NM_175454	ENSMUSG00000034586	Hid1	C630004H02Rik	HID1 domain containing	protein-coding
8.097417835891246	chr7	104352601	104353600	+	0	NA	intron (NM_175677, intron 1 of 7)	intron (NM_175677, intron 1 of 7)	249	NM_175677	319236	Mm.425502	NM_175677	ENSMUSG00000057143	Trim12c	9230105E10Rik|Trim12-2	tripartite motif-containing 12C	protein-coding
1.505675245076418-2	chr4	124985401	124985600	+	0	NA	promoter-TSS (NM_138683)	promoter-TSS (NM_138683)	-930	NM_138683	192199	Mm.42202	NM_138683	ENSMUSG00000028871	Rspo1	R-spondin|Rspondin	R-spondin 1	protein-coding
11.8406898443188	chr13	23562001	23563400	+	0	NA	promoter-TSS (NM_178205)	promoter-TSS (NM_178205)	-335	NM_178205	319151	Mm.261658	NM_178205	ENSMUSG00000069273	Hist1h3e	H3-f|H3.1	histone cluster 1, H3e	protein-coding
3.3462334936484694	chr18	7626001	7627600	+	0	NA	promoter-TSS (NM_001161620)	promoter-TSS (NM_001161620)	63	NM_001081287	75739	Mm.133293	NM_001081287	ENSMUSG00000057440	Mpp7	1110068J02Rik|2810038M04Rik|5430426E14Rik|AI415104|Gm955	membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)	protein-coding
1.2616520170122385	chr12	99633801	99634200	+	0	NA	Intergenic	Intergenic	-6026	NR_045288	73457	Mm.383439	NR_045288	ENSMUSG00000100211	1700064M15Rik	-	RIKEN cDNA 1700064M15 gene	ncRNA
0.8233002716941493	chr13	107021401	107022800	+	0	NA	promoter-TSS (NM_001145779)	promoter-TSS (NM_001145779)	14	NM_001145779	16563	Mm.355686	NM_008442	ENSMUSG00000021693	Kif2a	C530030B14Rik|Kif2|Kns2|M-kinesin	kinesin family member 2A	protein-coding
12.429609179496765	chr7	73542001	73542200	+	0	NA	promoter-TSS (NM_001081345)	promoter-TSS (NM_001081345)	-354	NM_001081345	244059	Mm.34539	NM_001081345	ENSMUSG00000078671	Chd2	2810013C04Rik|2810040A01Rik|5630401D06Rik|AI851092|BC029703|CHD-2	chromodomain helicase DNA binding protein 2	protein-coding
7.344926317532857	chr18	32147601	32148200	+	0	NA	Intergenic	Intergenic	-8330	NM_001042767	19123	Mm.2786	NM_008934	ENSMUSG00000024386	Proc	PC	protein C	protein-coding
